# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 15 22:00:38 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_telescope:   Discovery Telescope
# COLUMN pl_instrument:  Discovery Instrument
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_instrument,pl_pelink,st_age,st_ageerr1,st_ageerr2,st_agelim
HD 51608 b,2,14.07260000,0.00160000,-0.00160000,0,34.83,0.62,-0.62,0,5358.00,22.00,-22.00,0,0.80,,,0,,,,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_51608_b/,,,,0
HD 51608 c,2,95.94460000,0.15550000,-0.13660000,0,34.83,0.62,-0.62,0,5358.00,22.00,-22.00,0,0.80,,,0,,,,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_51608_c/,,,,0
HD 52265 b,1,119.27000000,0.02000000,-0.02000000,0,30.01,0.04,-0.04,0,6136.00,,,0,1.20,,,0,,,,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_52265_b/,,,,0
HD 5319 b,2,637.10000000,1.40000000,-1.40000000,0,121.83,0.71,-0.71,0,4871.00,,,0,1.27,,,0,4.06,,,0,,,,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_5319_b/,,,,0
HD 5319 c,2,872.20000000,6.00000000,-6.00000000,0,121.83,0.71,-0.71,0,4871.00,,,0,1.27,,,0,4.06,,,0,,,,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_5319_c/,,,,0
HD 55696 b,1,1827.00000000,10.00000000,-10.00000000,0,78.15,0.18,-0.18,0,6012.00,,,0,1.29,0.20,-0.20,0,1.52,0.07,-0.07,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_55696_b/,2.640,0.500,-0.500,0
HD 5583 b,1,139.35000000,0.21000000,-0.22000000,0,221.00,14.00,-14.00,0,4830.00,45.00,-45.00,0,1.01,0.10,-0.10,0,9.09,1.50,-1.50,0,,,,,,,,,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,http://exoplanet.eu/catalog/hd_5583_b/,7.410,3.060,-2.170,
HD 5608 b,1,779.90000000,4.90000000,-4.90000000,0,58.21,0.22,-0.22,0,4877.00,,,0,1.53,,,0,5.14,,,0,,,,0,,,,,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/hd_5608_b/,,,,0
HD 564 b,1,492.30000000,2.30000000,-2.30000000,0,53.60,,,0,5902.00,61.00,-61.00,0,0.96,0.05,-0.05,0,1.01,0.05,-0.05,0,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_564_b/,5.500,3.100,-3.100,
HD 5891 b,1,177.11000000,0.32000000,-0.32000000,0,285.75,4.90,-4.90,0,4673.00,123.00,-123.00,0,1.93,0.54,-0.54,0,10.64,0.99,-0.99,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_5891_b/,,,,0
HD 59686 A b,1,299.36000000,0.26000000,-0.31000000,0,96.80,2.70,-2.60,0,4658.00,24.00,-24.00,0,1.90,0.20,-0.20,0,13.20,0.30,-0.30,0,,,,,,,,,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/hd_59686_a_b/,1.730,0.470,-0.470,
HD 60532 b,2,201.90000000,0.30000000,-0.30000000,0,25.99,0.16,-0.16,0,6245.00,80.00,-80.00,0,1.50,0.09,-0.09,0,2.57,0.12,-0.12,0,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_60532_b/,2.800,0.100,-0.600,
HD 60532 c,2,600.10000000,2.40000000,-2.40000000,0,25.99,0.16,-0.16,0,6245.00,80.00,-80.00,0,1.50,0.09,-0.09,0,2.57,0.12,-0.12,0,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_60532_c/,2.800,0.100,-0.600,
HD 62509 b,1,589.64000000,0.81000000,-0.81000000,0,10.34,0.09,-0.09,0,4946.00,18.00,-18.00,0,2.10,0.08,-0.08,0,8.31,0.09,-0.09,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_62509_b/,0.980,0.130,-0.130,
HD 63454 b,1,2.81805000,0.00007100,-0.00007100,0,37.73,0.03,-0.03,0,4812.00,28.00,-28.00,0,0.42,0.03,-0.03,0,0.77,0.01,-0.01,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_63454_b/,,,,0
HD 63765 b,1,358.00000000,1.00000000,-1.00000000,0,32.57,0.03,-0.03,0,5449.00,11.00,-11.00,0,0.65,0.01,-0.01,0,0.83,0.01,-0.01,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_63765_b/,,,,0
HD 64114 b,1,45.79100000,0.07000000,-0.07000000,0,31.55,,,0,5676.00,32.00,-87.00,0,0.95,0.05,-0.05,0,,,,0,,,,0,,,,0,6.5 m Magellan II Clay Telescope,Carnegie Planet Finder Spectrograph,http://exoplanet.eu/catalog/hd_64114_b/,,,,0
HD 6434 b,1,21.99800000,0.00900000,-0.00900000,0,42.41,0.08,-0.08,0,5769.00,14.00,-14.00,0,1.10,0.13,-0.13,0,1.12,0.01,-0.01,0,,,,0,,,,0,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,http://exoplanet.eu/catalog/hd_6434_b/,,,,0
HD 65216 b,2,577.60000000,1.32800000,-1.32800000,0,35.16,0.04,-0.04,0,5612.00,,,0,0.87,,,0,,,,0,,,,0,,,,0,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,http://exoplanet.eu/catalog/hd_65216_b/,,,,0
HD 65216 c,2,5370.00000000,20.00000000,-20.00000000,0,35.16,0.04,-0.04,0,5612.00,,,0,0.87,,,0,,,,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_65216_c/,,,,0
HD 66141 b,1,480.50000000,0.50000000,-0.50000000,0,68.16,2.09,-2.09,0,4323.00,15.00,-15.00,0,1.10,0.10,-0.10,0,21.40,0.60,-0.60,0,,,,,,,,,1.8 m Telescope,BOES Echelle Spectrograph,http://exoplanet.eu/catalog/hd_66141_b/,6.840,1.390,-1.390,
HD 66428 b,1,2263.12000000,6.13000000,-5.94000000,0,53.36,0.22,-0.22,0,5773.00,23.00,-23.00,0,1.08,0.02,-0.02,0,1.10,0.06,-0.06,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_66428_b/,3.515,2.040,-2.040,0
HD 67087 b,2,352.20000000,1.70000000,-1.60000000,0,76.69,0.33,-0.33,0,6330.00,47.00,-47.00,0,1.36,0.04,-0.04,0,1.55,0.32,-0.32,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_67087_b/,1.450,0.510,-0.510,
HD 67087 c,2,2374.00000000,193.00000000,-156.00000000,0,76.69,0.33,-0.33,0,6330.00,47.00,-47.00,0,1.36,0.04,-0.04,0,1.55,0.32,-0.32,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_67087_c/,1.450,0.510,-0.510,
HD 6718 b,1,2496.00000000,180.00000000,-180.00000000,0,51.42,0.14,-0.14,0,5801.00,41.00,-41.00,0,1.08,0.21,-0.21,0,0.95,0.02,-0.02,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_6718_b/,,,,0
HD 68402 b,1,1103.00000000,33.00000000,-33.00000000,0,78.61,0.10,-0.10,0,5950.00,100.00,-100.00,0,1.12,0.05,-0.05,0,1.02,0.05,-0.05,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_68402_b/,2.000,3.000,-3.000,
HD 68988 b,1,6.27711000,0.00021000,-0.00021000,0,60.95,0.19,-0.19,0,5932.00,23.00,-23.00,0,1.28,0.09,-0.09,0,1.19,0.02,-0.02,0,,,,0,,,,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_68988_b/,,,,0
HD 69830 b,3,8.66700000,0.00300000,-0.00300000,0,12.56,0.01,-0.01,0,5385.00,20.00,-20.00,0,0.86,0.03,-0.03,0,,,,,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_69830_b/,7.000,3.000,-3.000,
HD 69830 c,3,31.56000000,0.04000000,-0.04000000,0,12.56,0.01,-0.01,0,5385.00,20.00,-20.00,0,0.86,0.03,-0.03,0,,,,,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_69830_c/,7.000,3.000,-3.000,
HD 69830 d,3,197.00000000,3.00000000,-3.00000000,0,12.56,0.01,-0.01,0,5385.00,20.00,-20.00,0,0.86,0.03,-0.03,0,,,,,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_69830_d/,7.000,3.000,-3.000,
HD 70573 b,1,851.80000000,11.60000000,-11.60000000,0,45.70,,,0,5737.00,70.00,-70.00,0,1.00,0.10,-0.10,0,,,,,,,,,,,,,2.2 m MPG/ESO Telescope,FEROS Spectrograph,http://exoplanet.eu/catalog/hd_70573_b/,0.102,0.024,-0.024,
HD 70642 b,1,2124.54000000,14.65000000,-13.51000000,0,29.30,0.03,-0.03,0,5732.00,23.00,-23.00,0,1.08,0.01,-0.01,0,0.98,0.02,-0.02,0,,,,0,,,,0,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,http://exoplanet.eu/catalog/hd_70642_b/,0.919,0.733,-0.733,0
HD 7199 b,1,615.00000000,7.00000000,-7.00000000,0,36.19,0.04,-0.04,0,5371.00,28.00,-28.00,0,0.77,0.09,-0.09,0,0.97,0.02,-0.02,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_7199_b/,,,,0
HD 72490 b,1,858.00000000,12.00000000,-12.00000000,0,126.79,1.09,-1.09,0,4934.00,,,0,1.21,,,0,4.96,,,0,,,,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,,,,,0
HD 72659 b,1,3658.00000000,32.00000000,-32.00000000,0,51.97,0.14,-0.14,0,5932.00,19.00,-19.00,0,1.43,0.11,-0.11,0,1.46,0.02,-0.02,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_72659_b/,,,,0
HD 72892 b,1,39.47500000,0.00400000,-0.00400000,0,69.87,0.19,-0.19,0,5688.00,100.00,-100.00,0,1.02,0.05,-0.05,0,1.22,0.06,-0.06,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_72892_b/,8.000,3.000,-3.000,
HD 73267 b,1,1245.36000000,2.81000000,-2.81000000,0,54.91,3.00,-3.00,0,5387.00,10.00,-10.00,0,0.90,0.02,-0.02,0,0.91,0.03,-0.03,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_73267_b/,8.140,3.505,-3.505,0
HD 73526 b,2,188.30000000,0.90000000,-0.90000000,0,97.51,0.32,-0.32,0,5601.00,24.00,-24.00,0,1.14,0.15,-0.15,0,1.53,0.03,-0.03,0,,,,0,,,,0,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,http://exoplanet.eu/catalog/hd_73526_b/,,,,0
HD 73526 c,2,379.10000000,0.50000000,-0.50000000,0,97.51,0.32,-0.32,0,5601.00,24.00,-24.00,0,1.14,0.15,-0.15,0,1.53,0.03,-0.03,0,,,,,,,,,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,http://exoplanet.eu/catalog/hd_73526_c/,,,,0
HD 73534 b,1,1750.00000000,24.00000000,-24.00000000,0,83.53,0.37,-0.37,0,4917.00,,,0,1.16,,,0,2.58,,,0,,,,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_73534_b/,,,,0
HD 74156 b,2,51.64500000,0.00300000,-0.00300000,0,64.60,4.60,-4.60,0,6068.00,44.00,-44.00,0,1.24,0.04,-0.04,0,,,,,,,,,,,,,1.93 m Telescope,ELODIE Spectrograph,http://exoplanet.eu/catalog/hd_74156_b/,,,,
HD 74156 c,2,2473.00000000,13.00000000,-13.00000000,0,64.60,4.60,-4.60,0,6068.00,44.00,-44.00,0,1.24,0.04,-0.04,0,,,,,,,,,,,,,1.93 m Telescope,ELODIE Spectrograph,http://exoplanet.eu/catalog/hd_74156_c/,,,,
HD 7449 b,1,1255.50000000,5.10000000,-5.10000000,0,38.71,0.06,-0.06,0,6024.00,,,0,1.05,,,0,,,,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_7449_b/,,,,0
HD 75289 b,1,3.50927000,0.00006400,-0.00006400,0,29.14,0.02,-0.02,0,6117.00,16.00,-16.00,0,1.29,0.10,-0.10,0,1.23,0.02,-0.02,0,,,,0,,,,0,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,http://exoplanet.eu/catalog/hd_75289_b/,,,,0
HD 75784 b,2,341.20000000,1.10000000,-1.10000000,0,85.64,0.52,-0.52,0,4867.00,,,0,1.26,,,0,3.40,,,0,,,,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_75784_b/,,,,0
HD 75784 c,2,7900.00000000,2000.00000000,-2000.00000000,0,85.64,0.52,-0.52,0,4867.00,,,0,1.26,,,0,3.40,,,0,,,,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_75784_c/,,,,0
HD 75898 b,1,422.90000000,0.29000000,-0.29000000,0,78.23,0.30,-0.30,0,5963.00,,,0,1.26,0.23,-0.23,0,1.58,0.11,-0.11,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_75898_b/,3.560,0.650,-0.650,0
HD 76700 b,1,3.97097000,0.00023000,-0.00023000,0,60.99,0.12,-0.12,0,5644.00,33.00,-33.00,0,0.99,0.17,-0.17,0,1.37,0.03,-0.03,0,,,,0,,,,0,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,http://exoplanet.eu/catalog/hd_76700_b/,,,,0
HD 76920 b,1,415.40000000,0.20000000,-0.20000000,0,184.80,7.50,-7.50,0,4698.00,100.00,-100.00,0,1.17,0.20,-0.20,0,7.47,0.60,-0.60,0,,,,0,,,,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_76920_b/,7.100,,,
HD 77338 b,1,5.73610000,0.00150000,-0.00150000,0,46.00,0.07,-0.07,0,5341.00,31.00,-31.00,0,1.37,0.32,-0.32,0,0.97,0.02,-0.02,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_77338_b/,,,,0
HD 7924 b,3,5.39792000,0.00025000,-0.00025000,0,17.00,0.01,-0.01,0,5131.00,14.00,-14.00,0,0.65,0.05,-0.05,0,0.78,0.01,-0.01,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_7924_b/,,,,0
HD 7924 c,3,15.29900000,0.00320000,-0.00330000,0,17.00,0.01,-0.01,0,5131.00,14.00,-14.00,0,0.65,0.05,-0.05,0,0.78,0.01,-0.01,0,584,5,-5,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_7924_c/,,,,0
HD 7924 d,3,24.45100000,0.01500000,-0.01700000,0,17.00,0.01,-0.01,0,5131.00,14.00,-14.00,0,0.65,0.05,-0.05,0,0.78,0.01,-0.01,0,499,4,-4,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_7924_d/,,,,0
HD 79498 b,1,1807.00000000,15.00000000,-15.00000000,0,49.02,0.18,-0.18,0,5748.00,,,0,1.08,0.15,-0.15,0,1.05,0.04,-0.04,0,,,,0,,,,0,2.7 m Harlan J. Smith Telescope,Tull Coude Spectrograph,http://exoplanet.eu/catalog/hd_79498_b/,2.710,1.450,-1.450,0
HD 80606 b,1,111.43670000,0.00040000,-0.00040000,0,66.60,0.16,-0.16,0,5561.00,24.00,-24.00,0,1.15,0.27,-0.27,0,1.04,0.02,-0.02,0,,,,0,11.994,0.336,-0.336,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_80606_b/,,,,0
HD 80653 b,1,0.71957300,0.00002100,-0.00002100,0,109.86,0.81,-0.81,0,,,,0,1.18,0.04,-0.04,0,1.22,0.01,-0.01,0,,,,0,1.613,0.071,-0.071,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/hd_80653_b/,2.670,1.200,-1.200,0
HD 81040 b,1,1001.70001000,7.00000000,-7.00000000,0,34.47,0.08,-0.08,0,5755.00,20.00,-20.00,0,1.05,0.19,-0.19,0,0.91,0.01,-0.01,0,,,,0,,,,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_81040_b/,,,,0
HD 81688 b,1,184.02000000,0.18000000,-0.18000000,0,85.92,0.78,-0.78,0,4753.00,15.00,-15.00,0,2.10,,,0,13.00,,,0,,,,,,,,,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/hd_81688_b/,,,,
HD 82886 b,1,705.00000000,34.00000000,-34.00000000,0,127.52,1.11,-1.11,0,4953.00,123.00,-123.00,0,2.53,0.46,-0.46,0,5.26,0.31,-0.31,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_82886_b/,,,,0
HD 82943 b,2,441.47000000,0.35000000,-0.35000000,0,27.61,0.03,-0.03,0,6016.00,,,0,1.20,,,0,,,,,,,,,,,,,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,http://exoplanet.eu/catalog/hd_82943_b/,,,,
HD 82943 c,2,220.07800000,0.05100000,-0.05100000,0,27.61,0.03,-0.03,0,6016.00,,,0,1.20,,,0,,,,,,,,,,,,,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,http://exoplanet.eu/catalog/hd_82943_c/,,,,
HD 8326 b,1,158.99100000,1.44000000,-1.44000000,0,30.71,,,0,4914.00,51.00,-32.00,0,0.80,0.05,-0.05,0,,,,0,,,,0,,,,0,6.5 m Magellan II Clay Telescope,Carnegie Planet Finder Spectrograph,http://exoplanet.eu/catalog/hd_8326_b/,,,,0
HD 83443 b,1,2.98570000,0.00005700,-0.00005700,0,40.95,0.06,-0.06,0,5442.00,17.00,-17.00,0,0.79,0.07,-0.07,0,0.94,0.02,-0.02,0,,,,0,,,,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_83443_b/,,,,0
HD 8535 b,1,1313.00000000,28.00000000,-28.00000000,0,52.50,1.70,-1.60,0,6136.00,18.00,-18.00,0,1.13,,,0,1.19,0.04,-0.04,0,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_8535_b/,,,,
HD 85390 b,1,799.52000000,2.41000000,-2.41000000,0,33.56,0.04,-0.04,0,5186.00,,,0,0.76,,,0,,,,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_85390_b/,,,,0
HD 85512 b,1,58.43000000,0.13000000,-0.13000000,0,11.28,0.01,-0.01,0,4300.00,45.00,-45.00,0,0.43,0.10,-0.10,0,0.71,0.02,-0.02,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_85512_b/,,,,0
HD 8574 b,1,227.00000000,0.20000000,-0.20000000,0,44.88,0.09,-0.09,0,6064.00,14.00,-14.00,0,1.34,0.12,-0.12,0,1.38,0.02,-0.02,0,,,,0,,,,0,1.93 m Telescope,ELODIE Spectrograph,http://exoplanet.eu/catalog/hd_8574_b/,,,,0
HD 86081 b,1,2.13784310,0.00000310,-0.00000310,0,104.24,0.55,-0.55,0,5939.00,,,0,1.21,0.28,-0.28,0,1.46,0.14,-0.14,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_86081_b/,3.610,0.860,-0.860,0
HD 86226 b,1,1695.00000000,58.00000000,-58.00000000,0,45.74,0.10,-0.10,0,5903.00,31.00,-31.00,0,1.06,0.03,-0.03,0,1.02,0.03,-0.03,0,,,,,,,,,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,http://exoplanet.eu/catalog/hd_86226_b/,1.500,1.300,-1.300,
HD 86264 b,1,1475.00000000,55.00000000,-55.00000000,0,67.94,0.27,-0.27,0,6210.00,44.00,-44.00,0,1.42,0.05,-0.05,0,1.88,0.12,-0.12,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/hd_86264_b/,2.240,,,
HD 8673 b,1,1634.00000000,17.00000000,-17.00000000,0,37.90,0.05,-0.05,0,6472.00,51.00,-51.00,0,1.35,0.10,-0.10,0,1.39,0.10,-0.10,0,,,,0,,,,0,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,http://exoplanet.eu/catalog/hd_8673_b/,,,,
HD 86950 b,1,1270.00000000,57.00000000,-57.00000000,0,211.10,1.95,-1.95,0,4805.00,100.00,-100.00,0,1.66,0.25,-0.25,0,8.80,0.60,-0.60,0,,,,,,,,,Multiple Telescopes,Multiple Instuments,http://exoplanet.eu/catalog/hd_86950_b/,,,,
HD 87646 b,1,13.48100000,0.00100000,-0.00100000,0,135.17,14.24,-14.24,0,5770.00,80.00,-80.00,0,1.12,0.09,-0.09,0,1.55,0.22,-0.22,0,,,,,,,,,2.5m Sloan Digital Sky Survey (SDSS) Telescope,KeckET,http://exoplanet.eu/catalog/hd_87646_a_b/,,,,
HD 87883 b,1,2754.00000000,87.00000000,-87.00000000,0,18.30,0.01,-0.01,0,4915.00,73.00,-73.00,0,0.66,0.09,-0.09,0,0.79,0.03,-0.03,0,,,,0,,,,0,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/hd_87883_b/,,,,0
HD 88133 b,1,3.41488400,0.00003000,-0.00003000,0,73.77,0.30,-0.30,0,5392.00,,,0,1.26,,,0,2.20,,,0,,,,0,,,,,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/hd_88133_b/,,,,0
HD 89307 b,1,2166.00000000,38.00000000,-38.00000000,0,32.04,0.05,-0.05,0,5955.00,14.00,-14.00,0,1.27,0.12,-0.12,0,1.10,0.01,-0.01,0,,,,0,,,,0,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/hd_89307_b/,,,,0
HD 89345 b,1,11.81430000,0.00020000,-0.00020000,0,132.80,1.80,-1.70,0,5576.00,73.00,-76.00,0,1.16,0.04,-0.04,0,1.75,0.05,-0.05,0,1089,15,-16,0,7.398,0.314,-0.336,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/hd_89345_b/,7.530,1.300,-0.990,0
HD 89744 b,1,256.78000000,0.02000000,-0.02000000,0,38.68,0.11,-0.11,0,6291.00,,,0,1.86,,,0,,,,0,,,,0,,,,0,1.5 m Tillinghast Reflector Telescope,AFOE Echelle Spectrograph,http://exoplanet.eu/catalog/hd_89744_b/,,,,0
HD 90156 b,1,49.77000000,0.07000000,-0.07000000,0,21.96,0.02,-0.02,0,5599.00,12.00,-12.00,0,0.84,,,0,,,,,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/hd_90156_b/,4.400,,,
HD 9174 b,1,1179.00000000,34.00000000,-34.00000000,0,81.68,0.30,-0.30,0,5577.00,100.00,-100.00,0,1.03,0.05,-0.05,0,1.67,0.07,-0.07,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_9174_b/,9.000,3.000,-3.000,
HD 92788 b,2,325.80300000,0.03652500,-0.03652500,0,34.69,0.06,-0.06,0,5744.00,24.00,-24.00,0,1.15,0.07,-0.07,0,1.14,0.02,-0.02,0,,,,0,,,,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/hd_92788_b/,2.550,1.510,-1.510,0
HD 92788 c,2,11611.29750000,5055.06000000,-905.82000000,0,34.69,0.06,-0.06,0,5744.00,24.00,-24.00,0,1.15,0.07,-0.07,0,1.14,0.02,-0.02,0,,,,0,,,,0,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,http://exoplanet.eu/catalog/hd_92788_c/,2.550,1.510,-1.510,0
